UKPRN,HE provider,Total number of cycle spaces,Total number of car parking spaces,Total renewable energy generated onsite or offsite (kWh)
10007764,Heriot-Watt University,609,2104,11937.0
10007147,University of Hertfordshire,1700,3502,284256.0
10007148,The University of Huddersfield,154,667,0.0
10007149,The University of Hull,1108,2166,339941.0
10003270,"Imperial College of Science, Technology and Medicine",2713,1408,11382.6
10007767,Keele University,464,2350,203675.0
10007150,The University of Kent,1443,2525,148244.0
10003645,King's College London,1208,151,117275.6
10003678,Kingston University,1205,1697,0.0
10007768,The University of Lancaster,1382,2802,5900249.0
10003854,Leeds Arts University,91,81,0.0
10003861,Leeds Beckett University,1025,1371,111614.61
10007795,The University of Leeds,2473,1893,288217.8
10003863,Leeds Trinity University,44,483,6054.0
10007796,The University of Leicester,1856,2060,302508.0
10007151,The University of Lincoln,1340,981,33733.417
10003956,Liverpool Hope University,201,706,6594.0
10003957,Liverpool John Moores University,473,742,5910.1
10003945,The Liverpool Institute for Performing Arts,26,26,0.0
10006842,The University of Liverpool,755,1890,103118.82
10003958,Liverpool School of Tropical Medicine,120,121,9172.51
10007162,"University of the Arts, London",1207,120,7822.933
10004048,London Metropolitan University,138,25,27824.42
10004078,London South Bank University,312,88,683551.0
10004063,London School of Economics and Political Science,538,56,123297.61
10007771,London School of Hygiene and Tropical Medicine,80,0,0.0
10004113,Loughborough University,2228,3624,0.0
10004180,The Manchester Metropolitan University,1154,1433,306941.0
10007798,The University of Manchester,3000,3597,50108.0
10004351,Middlesex University,188,555,55192.0
10007799,Newcastle University,2029,830,86425.54
10007832,Newman University,65,389,122404.0
10007138,The University of Northampton,0,0,10510.0
10001282,University of Northumbria at Newcastle,924,0,212877.0
10007154,University of Nottingham,5157,5001,917919.0
10004797,The Nottingham Trent University,847,1813,730993.448
10007773,The Open University,658,2751,179515.0
10004930,Oxford Brookes University,2945,1667,107426.0
10007774,The University of Oxford,4669,983,687843.0
10005127,Arts University Plymouth,25,26,14666.4
10007801,University of Plymouth,287,616,97778.0
10007155,The University of Portsmouth,1639,1064,0.0
10005337,"Queen Margaret University, Edinburgh",283,431,5211510.0
10007775,Queen Mary University of London,1043,220,17977.0
10005389,Ravensbourne University London,100,8,0.0
10007802,The University of Reading,3537,2256,219647.0
10005500,Robert Gordon University,288,1112,28894.0
10007776,Roehampton University,0,0,67939.0
10005523,Rose Bruford College of Theatre and Performance,140,116,1.0
10007835,Royal Academy of Music,78,0,0.0
10005545,Royal Agricultural University,75,829,942630.2
10007777,Royal College of Art,290,25,0.0
10007816,The Royal Central School of Speech and Drama,60,2,0.0
10005553,Royal Holloway and Bedford New College,883,1438,57974.0
10007779,The Royal Veterinary College,91,784,0.0
10007803,The University of St. Andrews,2003,1023,37848.0
10007782,"St George's, University of London",409,86,0.0
10008026,St Mary's University College,0,184,0.0
10007843,"St Mary's University, Twickenham",247,274,0.0
10007156,The University of Salford,361,1928,10518.0
10007780,SOAS University of London,340,0,23842.0
10005790,Sheffield Hallam University,692,402,30490.0
10007157,The University of Sheffield,2609,2340,1125000.8
10006022,Solent University,487,839,0.0
10007158,The University of Southampton,4364,3094,0.0
10006299,Staffordshire University,580,1624,22000.0
10007804,The University of Stirling,575,1883,944500.0
10037449,University of St Mark and St John,98,670,163641.0
10008010,Stranmillis University College,0,0,0.0
10007805,The University of Strathclyde,636,0,43234.0
10014001,University of Suffolk,176,416,13654.0
10007159,The University of Sunderland,306,1550,0.0
10007160,The University of Surrey,2054,2015,277084.0
10007806,The University of Sussex,2133,1908,827601.37
10007855,Swansea University,1020,1630,794846.0
10007161,Teesside University,364,1535,33748.0
10008017,Trinity Laban Conservatoire of Music and Dance,32,87,0.0
10007858,University of Wales Trinity Saint David,170,1415,105271.6
10007114,University of the Highlands and Islands,100,0,0.0
10007807,Ulster University,377,4936,3050170.0
10007784,University College London,1694,0,69750.0
10007793,University of South Wales,260,3371,961947.15
10007163,The University of Warwick,3185,5395,215994.44
10007164,"University of the West of England, Bristol",1249,3390,451256.0
10007800,The University of the West of Scotland,321,1483,0.0
10006566,The University of West London,137,94,26462.094
10007165,The University of Westminster,351,501,0.0
10003614,The University of Winchester,250,473,58334.0
10007166,The University of Wolverhampton,205,1880,28512.0
10007139,University of Worcester,775,1089,137141.0
10007713,York St John University,782,291,0.0
10007167,The University of York,5494,2366,1417338.05
