UKPRN,HE provider,Total number of cycle spaces,Total number of car parking spaces,Total renewable energy generated onsite or offsite (kWh)
10007783,The University of Aberdeen,861,1528,100894.7
10007849,Abertay University,86,225,0.0
10007856,Aberystwyth University,362,2930,10619.0
10000291,Anglia Ruskin University,2096,676,51447.0
10007759,Aston University,126,753,27722.0
10007857,Bangor University,685,1814,0.0
10000571,Bath Spa University,290,1000,1559447.0
10007850,The University of Bath,865,2200,129321.0
10007152,University of Bedfordshire,209,637,122795.61
10005343,Queen's University Belfast,1426,1290,0.0
10007760,Birkbeck College,30,0,0.0
10007140,Birmingham City University,0,0,103789.0
10000712,University College Birmingham,159,309,0.0
10007811,Bishop Grosseteste University,102,364,16099.0
10000385,The Arts University Bournemouth,180,224,12068.2
10000824,Bournemouth University,755,1200,1062798.0
10007785,The University of Bradford,202,857,55000.0
10000886,The University of Brighton,1115,997,496218.559
10000936,The University College of Osteopathy,81,10,0.0
10007786,The University of Bristol,3443,1932,354246.0
10000961,Brunel University London,787,2221,0.0
10000975,Buckinghamshire New University,378,530,138223.0
10007788,The University of Cambridge,11120,3560,1052776.0
10003324,The Institute of Cancer Research,100,362,26115.0
10001143,Canterbury Christ Church University,840,1211,49676.0
10007814,Cardiff University,3554,2078,199483.0
10007854,Cardiff Metropolitan University,530,1605,39296.0
10007141,The University of Central Lancashire,684,2006,411926.0
10007848,University of Chester,272,2417,354616.0
10007137,The University of Chichester,575,876,50286.0
10001478,"City, University of London",270,28,14350.0
10001653,Conservatoire for Dance and Drama,75,71,0.0
10007761,Courtauld Institute of Art,20,3,0.0
10001726,Coventry University,1456,1808,358069.0
10007822,Cranfield University,474,2044,4139525.707
10006427,University for the Creative Arts,145,666,34390.0
10007842,University of Cumbria,329,924,0.0
10001883,De Montfort University,780,966,157496.0
10007851,University of Derby,420,1818,134773.585
10007852,The University of Dundee,647,765,13100.0
10007143,University of Durham,1523,2833,304825.0
10007789,The University of East Anglia,4100,1972,141338.0
10007144,The University of East London,516,700,105673.0
10007823,Edge Hill University,209,1647,25936.0
10007772,Edinburgh Napier University,677,770,26837.05
10007790,The University of Edinburgh,5678,2929,219451.0
10007791,The University of Essex,1076,2996,105066.0
10007792,The University of Exeter,1689,1942,1336204.883
10008640,Falmouth University,530,601,36578.089
10004511,The National Film and Television School,30,105,0.0
10007762,Glasgow Caledonian University,188,141,0.0
10002681,Glasgow School of Art,72,40,0.0
10007794,The University of Glasgow,985,1632,433918.0
10007145,University of Gloucestershire,810,1231,26125.0
10007833,Glyndŵr University,72,1368,1258.0
10007146,The University of Greenwich,592,1561,40595.0
10007825,Guildhall School of Music and Drama,147,2,0.0
10040812,Harper Adams University,96,1426,503735.0
