UKPRN,HE provider,Total number of cycle spaces,Total number of car parking spaces,Total renewable energy generated onsite or offsite (kWh)
10007783,The University of Aberdeen,861,1528,138136.0
10007849,Abertay University,86,225,0.0
10007856,Aberystwyth University,362,2529,19410.0
10000291,Anglia Ruskin University,2096,676,58556.481
10007759,Aston University,136,753,30945.0
10007857,Bangor University,685,1819,64048.0
10000571,Bath Spa University,340,1016,1500000.0
10007850,The University of Bath,865,2191,147288.0
10007152,University of Bedfordshire,197,485,125667.0
10005343,Queen's University Belfast,1426,1290,0.0
10007760,Birkbeck College,112,0,0.0
10007140,Birmingham City University,0,0,61294.0
10007811,Bishop Grosseteste University,102,368,12228.9
10000385,The Arts University Bournemouth,180,224,12309.0
10000824,Bournemouth University,906,1432,1422055.0
10007785,The University of Bradford,194,896,40000.0
10000886,The University of Brighton,1351,1590,445857.0
10007786,The University of Bristol,2734,1913,299912.0
10000961,Brunel University London,787,1968,4716500.0
10000975,Buckinghamshire New University,378,530,131479.0
10007788,The University of Cambridge,11120,3560,720676.0
10003324,The Institute of Cancer Research,100,362,24272.0
10001143,Canterbury Christ Church University,877,881,0.0
10007814,Cardiff University,3554,1732,199662.0
10007854,Cardiff Metropolitan University,530,1640,37508.0
10007141,The University of Central Lancashire,702,2031,67721.47
10007848,University of Chester,272,2417,353820.0
10007137,The University of Chichester,575,871,43267.0
10001478,"City, University of London",208,28,0.0
10001726,Coventry University,1456,2090,115524.0
10007822,Cranfield University,522,2253,2244272.128
10006427,University for the Creative Arts,313,588,1381761.0
10007842,University of Cumbria,320,1027,0.0
10001883,De Montfort University,780,1098,190278.0
10007851,University of Derby,490,1818,96056.63
10007852,The University of Dundee,647,765,13000.0
10007143,University of Durham,2061,3278,298521.0
10007789,The University of East Anglia,4100,1972,252316.0
10007144,The University of East London,516,700,76999.6
10007772,Edinburgh Napier University,677,770,28024.0
10007790,The University of Edinburgh,7582,2585,215623.0
10007791,The University of Essex,1076,2996,547667.0
10007792,The University of Exeter,1689,1930,2903632.443
10008640,Falmouth University,332,575,0.0
10004511,The National Film and Television School,30,105,0.0
10007762,Glasgow Caledonian University,188,141,0.0
10002681,Glasgow School of Art,72,40,0.0
10007794,The University of Glasgow,1501,1483,488115.35
10007833,Glyndŵr University,72,1384,1965.0
10007146,The University of Greenwich,592,1561,29177.0
10007825,Guildhall School of Music and Drama,165,2,0.0
10007764,Heriot-Watt University,609,2104,18137.0
10007147,University of Hertfordshire,1700,3502,0.0
10007148,The University of Huddersfield,90,580,3911.0
10007149,The University of Hull,1131,1971,465766.0
10003270,"Imperial College of Science, Technology and Medicine",3143,735,16475.6
10007767,Keele University,464,2431,226871.0
10007150,The University of Kent,1495,2526,160444.0
10003645,King's College London,1179,79,5101.06
