UKPRN,HE provider,Total number of cycle spaces,Total number of car parking spaces,Total renewable energy generated onsite or offsite (kWh)
10007783,The University of Aberdeen,861,1528,91449.0
10007849,Abertay University,86,225,0.0
10007856,Aberystwyth University,362,2329,12502.6
10000291,Anglia Ruskin University,2096,676,67995.209
10007759,Aston University,126,753,58218.0
10007857,Bangor University,685,1819,67090.26
10000571,Bath Spa University,340,1057,1282423.0
10007850,The University of Bath,865,2191,0.0
10007152,University of Bedfordshire,197,485,116990.0
10005343,Queen's University Belfast,1426,1290,0.0
10007760,Birkbeck College,30,0,0.0
10007140,Birmingham City University,0,0,73148.0
10007811,Bishop Grosseteste University,102,368,17356.0
10000385,The Arts University Bournemouth,180,224,11397.0
10000824,Bournemouth University,755,1348,1518328.0
10007785,The University of Bradford,194,931,45000.0
10000886,The University of Brighton,1351,1517,491544.074
10007786,The University of Bristol,3525,1835,0.0
10000961,Brunel University London,787,2106,3936500.0
10000975,Buckinghamshire New University,378,530,125590.0
10007788,The University of Cambridge,11120,3560,748937.0
10003324,The Institute of Cancer Research,100,362,22874.0
10007814,Cardiff University,3554,1970,199483.0
10007854,Cardiff Metropolitan University,530,1640,45220.0
10007141,The University of Central Lancashire,692,2033,209013.0
10007848,University of Chester,272,2417,383254.0
10007137,The University of Chichester,575,876,43267.0
10001478,"City, University of London",270,28,14250.0
10001726,Coventry University,1456,2095,620714.92
10007822,Cranfield University,522,2044,2147908.524
10006427,University for the Creative Arts,169,666,41773.0
10007842,University of Cumbria,329,1052,0.0
10001883,De Montfort University,780,1086,258368.0
10007851,University of Derby,420,1818,120036.0
10007852,The University of Dundee,647,765,13000.0
10007143,University of Durham,1846,3015,322193.0
10007789,The University of East Anglia,4100,1972,162958.0
10007144,The University of East London,516,700,82029.0
10007823,Edge Hill University,209,1647,25936.0
10007772,Edinburgh Napier University,677,770,27368.0
10007790,The University of Edinburgh,5914,2535,225000.0
10007791,The University of Essex,1076,2996,105066.0
10007792,The University of Exeter,1689,1936,2950052.21
10008640,Falmouth University,329,575,51389.0
10004511,The National Film and Television School,30,105,0.0
10007762,Glasgow Caledonian University,188,141,0.0
10002681,Glasgow School of Art,72,40,0.0
10007794,The University of Glasgow,992,1628,265195.0
10007833,Glyndŵr University,72,1368,1892.0
10007146,The University of Greenwich,592,1561,36209.0
10007825,Guildhall School of Music and Drama,153,2,0.0
10007764,Heriot-Watt University,609,2104,14994.0
10007147,University of Hertfordshire,1700,3502,0.0
10007148,The University of Huddersfield,90,580,3456.0
10007149,The University of Hull,1131,1971,477285.0
10003270,"Imperial College of Science, Technology and Medicine",2713,1408,12173.0
10007767,Keele University,464,2611,211414.0
10007150,The University of Kent,1495,2526,170062.0
10003645,King's College London,1171,151,57730.8
10003678,Kingston University,1589,1761,44945.0
10007768,The University of Lancaster,1472,3091,5778726.0
10003861,Leeds Beckett University,1068,1366,171512.0
10007795,The University of Leeds,2612,1877,295791.3
10003863,Leeds Trinity University,44,483,8421.0
10007796,The University of Leicester,1810,2060,578698.0
10007151,The University of Lincoln,1134,1106,42213.0
10003956,Liverpool Hope University,201,706,9866.0
10003957,Liverpool John Moores University,473,742,7234.937
10006842,The University of Liverpool,755,1890,74964.55
10007162,"University of the Arts, London",1261,118,7822.933
10004048,London Metropolitan University,138,25,13374.22
10004063,London School of Economics and Political Science,667,56,137534.0
10007771,London School of Hygiene and Tropical Medicine,80,0,0.0
