UKPRN,HE provider,Total number of cycle spaces,Total number of car parking spaces,Total renewable energy generated onsite or offsite (kWh)
10004113,Loughborough University,2228,3636,0.0
10004180,The Manchester Metropolitan University,1097,1014,265273.0
10007798,The University of Manchester,3000,3597,73532.0
10004351,Middlesex University,188,555,70007.88
10007799,Newcastle University,2150,1124,51723.0
10007138,The University of Northampton,671,2628,2401541.0
10001282,University of Northumbria at Newcastle,1132,0,0.0
10007154,University of Nottingham,5162,5079,936622.0
10004797,The Nottingham Trent University,825,1813,968944.36
10004930,Oxford Brookes University,2945,1667,113287.0
10007774,The University of Oxford,4670,2045,490427.0
10007801,University of Plymouth,287,616,225804.0
10007155,The University of Portsmouth,1546,1092,0.0
10005337,"Queen Margaret University, Edinburgh",283,431,4793700.0
10007775,Queen Mary University of London,963,220,13416.0
10007802,The University of Reading,3541,2256,384989.0
10005500,Robert Gordon University,288,1112,25524.0
10005523,Rose Bruford College of Theatre and Performance,140,116,1.0
10007816,The Royal Central School of Speech and Drama,60,2,8704.9
10005553,Royal Holloway and Bedford New College,883,1438,50000.0
10007779,The Royal Veterinary College,91,784,0.0
10007803,The University of St. Andrews,2003,1045,36906.0
10007782,"St George's, University of London",409,86,0.0
10008026,St Mary's University College,0,184,0.0
10007843,"St Mary's University, Twickenham",247,274,0.0
10007156,The University of Salford,361,1928,11686.0
10007780,SOAS University of London,340,0,25478.0
10005790,Sheffield Hallam University,692,402,30733.0
10007157,The University of Sheffield,2609,2391,1174615.0
10006022,Solent University,488,709,0.0
10006299,Staffordshire University,580,1373,0.0
10007804,The University of Stirling,575,1883,843500.0
10037449,University of St Mark and St John,98,670,142813.0
10007805,The University of Strathclyde,668,461,60606.0
10014001,University of Suffolk,176,461,28684.0
10007160,The University of Surrey,2644,2015,486907.0
10007855,Swansea University,1020,1630,830305.0
10007161,Teesside University,364,1543,38383.97
10008017,Trinity Laban Conservatoire of Music and Dance,32,87,0.0
10007858,University of Wales Trinity Saint David,170,1411,375794.6
10007114,University of the Highlands and Islands,100,0,0.0
10007807,Ulster University,377,4936,3389255.0
10007784,University College London,1694,0,122250.0
10007793,University of South Wales,260,2568,322027.72
10007163,The University of Warwick,3500,6315,294418.66
10007164,"University of the West of England, Bristol",1269,3390,490351.279
10007800,The University of the West of Scotland,321,1483,0.0
10006566,The University of West London,192,119,26991.336
10007165,The University of Westminster,351,498,0.0
10003614,The University of Winchester,250,479,58901.0
10007166,The University of Wolverhampton,205,1877,29676.0
10007139,University of Worcester,815,1117,190050.0
10007713,York St John University,782,285,0.0
10007167,The University of York,5555,2337,2434320.996
