UKPRN,HE provider,Total number of cycle spaces,Total number of car parking spaces,Total renewable energy generated onsite or offsite (kWh)
10008017,Trinity Laban Conservatoire of Music and Dance,32,87,0.0
10007858,University of Wales Trinity Saint David,0,0,7153.0
10007114,University of the Highlands and Islands,100,810,0.0
10007807,Ulster University,377,4901,1640752.0
10007784,University College London,742,0,42228.0
10007793,University of South Wales,497,3246,1612.0
10007163,The University of Warwick,2500,4245,87461.0
10007164,"University of the West of England, Bristol",1067,2901,73720.0
10007800,The University of the West of Scotland,321,1483,0.0
10006566,The University of West London,170,140,11856.0
10007165,The University of Westminster,462,543,0.0
10003614,The University of Winchester,164,514,56011.0
10007166,The University of Wolverhampton,238,1897,28245.0
10007139,University of Worcester,775,1159,177245.0
10007657,Writtle University College,253,634,0.0
10007713,York St John University,782,251,1000.0
10007167,The University of York,2996,2807,2700226.0
