UKPRN,HE provider,Total number of cycle spaces,Total number of car parking spaces,Total renewable energy generated onsite or offsite (kWh)
10007783,The University of Aberdeen,833,1528,7253.0
10007849,Abertay University,86,225,0.0
10007856,Aberystwyth University,342,2525,6707.0
10000291,Anglia Ruskin University,2096,730,43033.7
10007759,Aston University,126,866,42439.0
10007857,Bangor University,685,1951,33424.6
10000571,Bath Spa University,290,843,1723848.0
10007850,The University of Bath,874,2036,97978.0
10007152,University of Bedfordshire,231,650,113688.9
10005343,Queen's University Belfast,1006,1376,0.0
10007760,Birkbeck College,30,0,0.0
10007140,Birmingham City University,0,0,19722.0
10006840,The University of Birmingham,1446,3591,84500.0
10000712,University College Birmingham,159,309,0.0
10007811,Bishop Grosseteste University,102,228,13371.0
10006841,The University of Bolton,24,526,15658.21
10000385,The Arts University Bournemouth,180,224,7400.0
10000824,Bournemouth University,817,1266,976899.0
10007785,The University of Bradford,210,1298,854947.0
10000886,The University of Brighton,1060,1432,309792.0
10007786,The University of Bristol,3316,1705,409919.0
10000961,Brunel University London,789,2043,0.0
10000975,Buckinghamshire New University,228,530,105079.0
10007788,The University of Cambridge,9000,3580,1001114.0
10003324,The Institute of Cancer Research,90,362,30969.0
10001143,Canterbury Christ Church University,840,1211,52076.0
10007814,Cardiff University,3305,1953,92120.0
10007854,Cardiff Metropolitan University,530,1605,25147.0
10007141,The University of Central Lancashire,658,1949,685232.0
10007848,University of Chester,272,2417,373405.0
10007137,The University of Chichester,513,814,0.0
10001478,"City, University of London",270,28,14332.0
10001653,Conservatoire for Dance and Drama,110,13,1.0
10007761,Courtauld Institute of Art,0,0,0.0
10001726,Coventry University,646,1749,160380.0
10007822,Cranfield University,402,2399,10000.0
10006427,University for the Creative Arts,142,796,6111.0
10007842,University of Cumbria,329,1091,0.0
10001883,De Montfort University,642,962,106333.6
10007851,University of Derby,420,1818,114769.0
10007852,The University of Dundee,0,0,13038.0
10007143,University of Durham,1562,3157,268005.0
