UKPRN,HE provider,Total number of cycle spaces,Total number of car parking spaces,Total renewable energy generated onsite or offsite (kWh)
10008017,Trinity Laban Conservatoire of Music and Dance,32,87,0.0
10007858,University of Wales Trinity Saint David,0,0,830.73
10007114,University of the Highlands and Islands,100,0,0.0
10007807,Ulster University,377,4936,3138984.0
10007784,University College London,1694,0,19800.0
10007793,University of South Wales,497,3371,4494.0
10007163,The University of Warwick,3067,4980,179078.0
10007164,"University of the West of England, Bristol",1219,3390,509752.0
10007800,The University of the West of Scotland,321,1483,0.0
10006566,The University of West London,137,97,23404.29
10007165,The University of Westminster,351,502,0.0
10003614,The University of Winchester,235,473,57762.0
10007166,The University of Wolverhampton,205,1870,28579.0
10007139,University of Worcester,775,1142,141328.0
10007657,Writtle University College,253,634,0.0
10007713,York St John University,782,300,0.0
10007167,The University of York,5348,2478,1714416.05
